date,APR Las Canteras >> Caseta 7 >> Estado Bomba Elevadora 2(22804),APR Las Canteras >> Caseta 7 >> Estado Bomba Elevadora 1(22793),APR Las Canteras >> Caseta 1 >> Estado Bomba Elevadora 2(22739),APR Las Canteras >> Caseta 1 >> Estado Bomba Elevadora 1(22728)
2020-12-01 01:42:17-03:00,,,0.0,0.0
2020-12-01 01:42:26-03:00,0.0,0.0,,
2020-12-01 01:47:18-03:00,,,0.0,0.0
2020-12-01 01:47:27-03:00,0.0,0.0,,
2020-12-01 01:52:18-03:00,,,0.0,0.0
2020-12-01 01:52:27-03:00,0.0,0.0,,
2020-12-01 01:57:19-03:00,,,0.0,0.0
2020-12-01 01:57:27-03:00,0.0,0.0,,
2020-12-01 02:02:19-03:00,,,0.0,0.0
2020-12-01 02:02:28-03:00,0.0,0.0,,
2020-12-01 02:07:20-03:00,,,0.0,0.0
2020-12-01 02:07:27-03:00,0.0,0.0,,
2020-12-01 02:12:20-03:00,,,0.0,0.0
2020-12-01 02:12:27-03:00,0.0,0.0,,
2020-12-01 02:17:20-03:00,,,0.0,0.0
2020-12-01 02:17:28-03:00,0.0,0.0,,
2020-12-01 02:22:20-03:00,,,0.0,0.0
2020-12-01 02:22:28-03:00,0.0,0.0,,
2020-12-01 02:27:21-03:00,,,0.0,0.0
2020-12-01 02:27:28-03:00,0.0,0.0,,
2020-12-01 02:32:21-03:00,,,0.0,0.0
2020-12-01 02:32:29-03:00,0.0,0.0,,
2020-12-01 02:37:21-03:00,,,0.0,0.0
2020-12-01 02:37:30-03:00,0.0,0.0,,
2020-12-01 02:42:22-03:00,,,0.0,0.0
2020-12-01 02:42:30-03:00,0.0,0.0,,
2020-12-01 02:47:22-03:00,,,0.0,0.0
2020-12-01 02:47:31-03:00,0.0,0.0,,
2020-12-01 02:52:22-03:00,,,0.0,0.0
2020-12-01 02:52:31-03:00,0.0,0.0,,
2020-12-01 02:57:23-03:00,,,0.0,0.0
2020-12-01 02:57:31-03:00,0.0,0.0,,
2020-12-01 03:02:23-03:00,,,0.0,0.0
