date,APR Los Caleos >> Pozos y Bombas Elevadoras >> Caudal Pozos(9918)
2020-11-30 21:02:56-03:00,4.54
2020-11-30 21:07:56-03:00,4.54
2020-11-30 21:12:56-03:00,4.76
2020-11-30 21:17:56-03:00,4.76
2020-11-30 21:22:57-03:00,4.76
2020-11-30 21:27:57-03:00,4.76
2020-11-30 21:32:57-03:00,4.76
2020-11-30 21:37:57-03:00,4.76
2020-11-30 21:42:58-03:00,4.76
2020-11-30 21:47:58-03:00,4.76
2020-11-30 21:52:58-03:00,4.76
2020-11-30 21:57:59-03:00,4.76
2020-11-30 22:03:00-03:00,4.76
2020-11-30 22:08:00-03:00,4.76
2020-11-30 22:13:00-03:00,4.76
2020-11-30 22:18:01-03:00,4.76
2020-11-30 22:23:01-03:00,4.76
2020-11-30 22:28:01-03:00,4.76
2020-11-30 22:33:02-03:00,4.76
2020-11-30 22:38:02-03:00,4.76
2020-11-30 22:43:02-03:00,4.76
2020-11-30 22:48:03-03:00,4.76
2020-11-30 22:53:03-03:00,4.76
2020-11-30 22:58:03-03:00,4.76
2020-11-30 23:03:03-03:00,4.76
2020-11-30 23:08:03-03:00,4.76
2020-11-30 23:13:04-03:00,4.76
2020-11-30 23:18:04-03:00,4.76
2020-11-30 23:23:05-03:00,4.76
2020-11-30 23:28:05-03:00,4.76
2020-11-30 23:33:05-03:00,4.76
2020-11-30 23:38:06-03:00,4.76
2020-11-30 23:43:06-03:00,4.76
2020-11-30 23:48:06-03:00,4.76
2020-11-30 23:53:07-03:00,4.76
2020-11-30 23:58:07-03:00,4.76
2020-12-01 00:03:07-03:00,0.0
2020-12-01 00:08:08-03:00,0.0
2020-12-01 00:13:08-03:00,0.0
2020-12-01 00:18:08-03:00,0.0
2020-12-01 00:23:08-03:00,0.0
2020-12-01 00:28:09-03:00,0.0
2020-12-01 00:33:09-03:00,0.0
2020-12-01 00:38:09-03:00,0.0
2020-12-01 00:43:10-03:00,0.0
2020-12-01 00:48:10-03:00,0.0
2020-12-01 00:53:10-03:00,0.0
2020-12-01 00:58:11-03:00,0.0
2020-12-01 01:03:11-03:00,0.0
2020-12-01 01:08:11-03:00,0.0
2020-12-01 01:13:11-03:00,0.0
2020-12-01 01:18:11-03:00,0.0
2020-12-01 01:23:12-03:00,0.0
2020-12-01 01:28:12-03:00,0.0
2020-12-01 01:33:12-03:00,0.0
2020-12-01 01:38:13-03:00,5.0
2020-12-01 01:43:13-03:00,4.76
2020-12-01 01:48:13-03:00,4.76
2020-12-01 01:53:13-03:00,4.76
2020-12-01 01:58:14-03:00,4.76
2020-12-01 02:03:15-03:00,4.76
2020-12-01 02:08:15-03:00,4.76
2020-12-01 02:13:15-03:00,4.76
2020-12-01 02:18:16-03:00,4.76
2020-12-01 02:23:16-03:00,4.76
2020-12-01 02:28:16-03:00,4.76
2020-12-01 02:33:17-03:00,0.0
2020-12-01 02:38:17-03:00,0.0
2020-12-01 02:43:17-03:00,0.0
2020-12-01 02:48:17-03:00,0.0
2020-12-01 02:53:18-03:00,0.0
2020-12-01 02:58:18-03:00,0.0
2020-12-01 03:03:18-03:00,0.0
2020-12-01 03:08:18-03:00,0.0
2020-12-01 03:13:19-03:00,0.0
2020-12-01 03:18:19-03:00,0.0
2020-12-01 03:23:19-03:00,0.0
2020-12-01 03:28:19-03:00,0.0
2020-12-01 03:33:20-03:00,0.0
2020-12-01 03:38:20-03:00,0.0
2020-12-01 03:43:21-03:00,0.0
2020-12-01 03:48:21-03:00,0.0
2020-12-01 03:53:22-03:00,0.0
2020-12-01 03:58:22-03:00,0.0
2020-12-01 04:03:22-03:00,0.0
2020-12-01 04:08:22-03:00,0.0
2020-12-01 04:13:23-03:00,0.0
2020-12-01 04:18:23-03:00,0.0
2020-12-01 04:23:23-03:00,0.0
2020-12-01 04:28:24-03:00,0.0
2020-12-01 04:33:24-03:00,5.0
2020-12-01 04:38:24-03:00,4.76
2020-12-01 04:43:25-03:00,4.76
2020-12-01 04:48:25-03:00,4.76
2020-12-01 04:53:25-03:00,4.76
2020-12-01 04:58:26-03:00,4.76
2020-12-01 05:03:26-03:00,4.76
2020-12-01 05:08:26-03:00,4.76
2020-12-01 05:13:26-03:00,4.76
2020-12-01 05:18:26-03:00,4.76
2020-12-01 05:23:27-03:00,4.76
2020-12-01 05:28:27-03:00,0.0
2020-12-01 05:33:27-03:00,0.0
2020-12-01 05:38:27-03:00,0.0
2020-12-01 05:43:28-03:00,0.0
2020-12-01 05:48:28-03:00,0.0
2020-12-01 05:53:29-03:00,0.0
2020-12-01 05:58:29-03:00,0.0
2020-12-01 06:03:29-03:00,0.0
2020-12-01 06:08:30-03:00,0.0
2020-12-01 06:13:30-03:00,0.0
2020-12-01 06:18:30-03:00,0.0
2020-12-01 06:23:31-03:00,0.0
2020-12-01 06:28:31-03:00,0.0
2020-12-01 06:33:31-03:00,0.0
2020-12-01 06:38:31-03:00,0.0
2020-12-01 06:43:32-03:00,0.0
2020-12-01 06:48:32-03:00,0.0
2020-12-01 06:53:32-03:00,0.0
2020-12-01 06:58:33-03:00,0.0
2020-12-01 07:03:33-03:00,0.0
2020-12-01 07:08:33-03:00,5.0
2020-12-01 07:13:33-03:00,4.76
2020-12-01 07:18:34-03:00,4.76
2020-12-01 07:23:34-03:00,4.76
2020-12-01 07:28:34-03:00,4.76
2020-12-01 07:33:34-03:00,4.76
2020-12-01 07:38:35-03:00,4.76
2020-12-01 07:43:35-03:00,4.76
2020-12-01 07:48:35-03:00,4.76
2020-12-01 07:53:36-03:00,4.76
2020-12-01 07:58:36-03:00,4.76
2020-12-01 08:03:37-03:00,4.76
2020-12-01 08:08:37-03:00,4.76
2020-12-01 08:13:37-03:00,4.76
2020-12-01 08:18:38-03:00,4.76
2020-12-01 08:23:38-03:00,4.76
2020-12-01 08:28:38-03:00,0.0
2020-12-01 08:33:38-03:00,0.0
2020-12-01 08:38:39-03:00,0.0
2020-12-01 08:43:39-03:00,0.0
2020-12-01 08:48:39-03:00,0.0
2020-12-01 08:53:40-03:00,0.0
2020-12-01 08:58:40-03:00,0.0
2020-12-01 09:03:40-03:00,0.0
2020-12-01 09:08:40-03:00,0.0
2020-12-01 09:13:40-03:00,0.0
2020-12-01 09:18:41-03:00,0.0
2020-12-01 09:23:41-03:00,0.0
2020-12-01 09:28:41-03:00,0.0
2020-12-01 09:33:42-03:00,0.0
2020-12-01 09:38:42-03:00,0.0
2020-12-01 09:43:42-03:00,0.0
2020-12-01 09:48:43-03:00,0.0
2020-12-01 09:53:43-03:00,0.0
2020-12-01 09:58:44-03:00,0.0
2020-12-01 10:03:44-03:00,0.0
2020-12-01 10:08:44-03:00,0.0
2020-12-01 10:13:44-03:00,0.0
2020-12-01 10:18:44-03:00,0.0
2020-12-01 10:23:45-03:00,0.0
2020-12-01 10:28:45-03:00,0.0
2020-12-01 10:33:45-03:00,0.0
2020-12-01 10:38:46-03:00,0.0
2020-12-01 10:43:46-03:00,0.0
2020-12-01 10:48:46-03:00,0.0
2020-12-01 10:53:47-03:00,0.0
2020-12-01 10:58:47-03:00,0.0
2020-12-01 11:03:47-03:00,0.0
2020-12-01 11:08:48-03:00,0.0
2020-12-01 11:13:48-03:00,0.0
2020-12-01 11:18:48-03:00,0.0
2020-12-01 11:23:49-03:00,0.0
2020-12-01 11:28:50-03:00,0.0
2020-12-01 11:33:50-03:00,0.0
2020-12-01 11:38:50-03:00,0.0
2020-12-01 11:43:51-03:00,0.0
2020-12-01 11:48:51-03:00,0.0
2020-12-01 11:53:51-03:00,0.0
2020-12-01 11:58:52-03:00,0.0
2020-12-01 12:03:53-03:00,0.0
2020-12-01 12:08:51-03:00,0.0
2020-12-01 12:13:52-03:00,0.0
2020-12-01 12:18:52-03:00,0.0
2020-12-01 12:23:52-03:00,0.0
2020-12-01 12:28:53-03:00,0.0
2020-12-01 12:33:53-03:00,0.0
2020-12-01 12:38:53-03:00,0.0
2020-12-01 12:43:53-03:00,0.0
2020-12-01 12:48:54-03:00,0.0
2020-12-01 12:53:54-03:00,0.0
2020-12-01 12:58:54-03:00,0.0
2020-12-01 13:03:55-03:00,0.0
2020-12-01 13:08:55-03:00,0.0
2020-12-01 13:13:55-03:00,0.0
2020-12-01 13:18:57-03:00,0.0
2020-12-01 13:23:57-03:00,0.0
2020-12-01 13:28:57-03:00,0.0
2020-12-01 13:33:57-03:00,0.0
2020-12-01 13:38:58-03:00,0.0
2020-12-01 13:43:58-03:00,0.0
2020-12-01 13:48:58-03:00,0.0
2020-12-01 13:53:59-03:00,0.0
2020-12-01 13:58:59-03:00,0.0
2020-12-01 14:03:59-03:00,0.0
2020-12-01 14:08:59-03:00,0.0
2020-12-01 14:14:00-03:00,0.0
2020-12-01 14:19:00-03:00,0.0
2020-12-01 14:24:00-03:00,0.0
2020-12-01 14:29:01-03:00,0.0
2020-12-01 14:34:01-03:00,0.0
2020-12-01 14:39:01-03:00,0.0
2020-12-01 14:44:01-03:00,0.0
2020-12-01 14:49:02-03:00,0.0
2020-12-01 14:54:02-03:00,0.0
2020-12-01 14:59:02-03:00,0.0
2020-12-01 15:04:03-03:00,0.0
2020-12-01 15:09:03-03:00,0.0
2020-12-01 15:14:03-03:00,0.0
2020-12-01 15:19:03-03:00,0.0
2020-12-01 15:24:04-03:00,0.0
2020-12-01 15:29:04-03:00,0.0
2020-12-01 15:34:05-03:00,0.0
2020-12-01 15:39:05-03:00,0.0
2020-12-01 15:44:05-03:00,0.0
2020-12-01 15:49:06-03:00,0.0
2020-12-01 15:54:06-03:00,0.0
2020-12-01 15:59:06-03:00,0.0
2020-12-01 16:04:07-03:00,0.0
2020-12-01 16:09:07-03:00,0.0
2020-12-01 16:14:07-03:00,0.0
2020-12-01 16:19:07-03:00,0.0
2020-12-01 16:24:08-03:00,0.0
2020-12-01 16:29:08-03:00,0.0
2020-12-01 16:34:08-03:00,0.0
2020-12-01 16:39:09-03:00,0.0
2020-12-01 16:44:09-03:00,0.0
2020-12-01 16:49:09-03:00,0.0
2020-12-01 16:54:10-03:00,0.0
2020-12-01 16:59:10-03:00,0.0
2020-12-01 17:04:09-03:00,0.0
2020-12-01 17:09:11-03:00,0.0
2020-12-01 17:14:11-03:00,0.0
2020-12-01 17:19:11-03:00,0.0
2020-12-01 17:24:12-03:00,0.0
2020-12-01 17:29:12-03:00,0.0
2020-12-01 17:34:12-03:00,0.0
2020-12-01 17:39:13-03:00,0.0
2020-12-01 17:44:13-03:00,0.0
2020-12-01 17:49:14-03:00,0.0
2020-12-01 17:54:14-03:00,0.0
2020-12-01 17:59:15-03:00,0.0
2020-12-01 18:04:15-03:00,0.0
2020-12-01 18:09:15-03:00,0.0
2020-12-01 18:14:16-03:00,0.0
2020-12-01 18:19:16-03:00,0.0
2020-12-01 18:24:16-03:00,0.0
2020-12-01 18:29:17-03:00,0.0
2020-12-01 18:34:17-03:00,0.0
2020-12-01 18:39:17-03:00,0.0
2020-12-01 18:44:18-03:00,5.0
2020-12-01 18:49:18-03:00,4.76
2020-12-01 18:54:19-03:00,4.76
2020-12-01 18:59:19-03:00,4.76
2020-12-01 19:04:19-03:00,4.76
2020-12-01 19:09:19-03:00,4.76
2020-12-01 19:14:19-03:00,4.76
2020-12-01 19:19:20-03:00,4.76
2020-12-01 19:24:20-03:00,4.76
2020-12-01 19:29:20-03:00,4.76
2020-12-01 19:34:21-03:00,4.76
2020-12-01 19:39:21-03:00,4.76
2020-12-01 19:44:21-03:00,4.76
2020-12-01 19:49:22-03:00,4.76
2020-12-01 19:54:22-03:00,4.76
2020-12-01 19:59:22-03:00,4.76
2020-12-01 20:04:22-03:00,4.76
2020-12-01 20:09:23-03:00,4.76
2020-12-01 20:14:23-03:00,4.76
2020-12-01 20:19:23-03:00,4.76
2020-12-01 20:24:23-03:00,4.76
2020-12-01 20:29:24-03:00,4.76
2020-12-01 20:34:25-03:00,4.76
2020-12-01 20:39:25-03:00,0.0
2020-12-01 20:44:26-03:00,0.0
2020-12-01 20:49:26-03:00,0.0
2020-12-01 20:54:26-03:00,0.0
