date,APR Espinalillo >> Pozo 1 y Pozo 2 >> Horómetro Pozo 2(7566),APR Espinalillo >> Pozo 1 y Pozo 2 >> Horómetro Pozo 1(7561)
2020-11-30 21:01:21-03:00,4806.0,9687.0
2020-11-30 21:01:45-03:00,4806.0,9687.0
2020-11-30 21:06:21-03:00,4806.0,9687.0
2020-11-30 21:06:45-03:00,4806.0,9687.0
2020-11-30 21:11:21-03:00,4806.0,9687.0
2020-11-30 21:11:45-03:00,4806.0,9687.0
2020-11-30 21:16:22-03:00,4806.0,9687.0
2020-11-30 21:16:46-03:00,4806.0,9687.0
2020-11-30 21:21:22-03:00,4806.0,9687.0
2020-11-30 21:21:46-03:00,4806.0,9687.0
2020-11-30 21:26:22-03:00,4806.0,9687.0
2020-11-30 21:26:46-03:00,4806.0,9687.0
2020-11-30 21:31:23-03:00,4806.0,9687.0
2020-11-30 21:31:47-03:00,4806.0,9687.0
2020-11-30 21:36:23-03:00,4806.0,9687.0
2020-11-30 21:36:47-03:00,4806.0,9687.0
2020-11-30 21:41:23-03:00,4806.0,9687.0
2020-11-30 21:41:47-03:00,4806.0,9687.0
2020-11-30 21:46:24-03:00,4806.0,9687.0
2020-11-30 21:46:48-03:00,4806.0,9687.0
2020-11-30 21:51:24-03:00,4806.0,9687.0
2020-11-30 21:51:48-03:00,4806.0,9687.0
2020-11-30 21:56:24-03:00,4806.0,9687.0
2020-11-30 21:56:48-03:00,4806.0,9687.0
2020-11-30 22:01:24-03:00,4806.0,9687.0
2020-11-30 22:01:48-03:00,4806.0,9687.0
2020-11-30 22:06:25-03:00,4806.0,9687.0
2020-11-30 22:06:49-03:00,4806.0,9687.0
2020-11-30 22:11:25-03:00,4806.0,9687.0
2020-11-30 22:11:49-03:00,4806.0,9687.0
2020-11-30 22:16:25-03:00,4806.0,9687.0
2020-11-30 22:16:49-03:00,4806.0,9687.0
2020-11-30 22:21:26-03:00,4806.0,9687.0
2020-11-30 22:21:50-03:00,4806.0,9687.0
2020-11-30 22:26:26-03:00,4806.0,9687.0
