date,APR El Sauce >> Pozo 1 >> Caudal Pozo 1(10938),APR El Sauce >> Pozo 2 >> Caudal Pozo 2(10992)
2020-12-01 02:56:33-03:00,,9.09
2020-12-01 02:58:53-03:00,0.0,
2020-12-01 03:01:34-03:00,,9.09
2020-12-01 03:03:53-03:00,0.0,
2020-12-01 03:06:34-03:00,,9.09
2020-12-01 03:08:54-03:00,0.0,
2020-12-01 03:11:34-03:00,,9.09
2020-12-01 03:13:54-03:00,0.0,
2020-12-01 03:16:35-03:00,,9.09
2020-12-01 03:18:54-03:00,0.0,
2020-12-01 03:21:35-03:00,,9.09
2020-12-01 03:23:55-03:00,0.0,
2020-12-01 03:26:35-03:00,,9.09
2020-12-01 03:28:55-03:00,0.0,
2020-12-01 03:31:36-03:00,,9.09
2020-12-01 03:33:55-03:00,0.0,
2020-12-01 03:36:36-03:00,,9.09
2020-12-01 03:38:56-03:00,0.0,
2020-12-01 03:41:36-03:00,,9.09
2020-12-01 03:43:56-03:00,0.0,
2020-12-01 03:46:37-03:00,,9.09
2020-12-01 03:48:56-03:00,0.0,
2020-12-01 03:51:37-03:00,,9.09
2020-12-01 03:53:56-03:00,0.0,
2020-12-01 03:56:37-03:00,,9.09
2020-12-01 03:58:57-03:00,0.0,
2020-12-01 04:01:37-03:00,,9.09
2020-12-01 04:03:57-03:00,0.0,
2020-12-01 04:06:39-03:00,,9.09
2020-12-01 04:08:58-03:00,0.0,
2020-12-01 04:11:39-03:00,,9.09
2020-12-01 04:13:58-03:00,0.0,
2020-12-01 04:16:39-03:00,,9.09
2020-12-01 04:18:58-03:00,0.0,
2020-12-01 04:21:40-03:00,,9.09
2020-12-01 04:23:58-03:00,0.0,
2020-12-01 04:26:40-03:00,,9.09
2020-12-01 04:28:59-03:00,0.0,
2020-12-01 04:31:40-03:00,,9.09
2020-12-01 04:33:59-03:00,0.0,
2020-12-01 04:36:41-03:00,,9.09
2020-12-01 04:38:59-03:00,0.0,
2020-12-01 04:41:41-03:00,,9.09
2020-12-01 04:44:00-03:00,0.0,
2020-12-01 04:46:41-03:00,,9.09
