date,APR Las Calderas RP1 >> Estanque Elevado 1 >> Volumen Salida Estanque Base(14135),APR Las Calderas RP1 >> Pozo Pedrero >> Volumen Pozo Pedrero(14069)
2020-12-01 01:54:11-03:00,,8964.0
2020-12-01 01:57:29-03:00,94611.0,
2020-12-01 01:59:11-03:00,,8964.0
2020-12-01 02:02:29-03:00,94612.0,
2020-12-01 02:04:12-03:00,,8964.0
2020-12-01 02:07:30-03:00,94613.0,
2020-12-01 02:09:12-03:00,,8964.0
2020-12-01 02:12:30-03:00,94613.0,
2020-12-01 02:14:13-03:00,,8964.0
2020-12-01 02:17:30-03:00,94614.0,
2020-12-01 02:19:13-03:00,,8964.0
2020-12-01 02:22:31-03:00,94615.0,
2020-12-01 02:24:13-03:00,,8964.0
2020-12-01 02:27:31-03:00,94616.0,
2020-12-01 02:29:14-03:00,,8964.0
2020-12-01 02:32:31-03:00,94617.0,
2020-12-01 02:34:14-03:00,,8964.0
2020-12-01 02:37:32-03:00,94617.0,
2020-12-01 02:39:14-03:00,,8964.0
2020-12-01 02:42:32-03:00,94618.0,
2020-12-01 02:44:15-03:00,,8964.0
2020-12-01 02:47:32-03:00,94619.0,
2020-12-01 02:49:15-03:00,,8964.0
2020-12-01 02:52:33-03:00,94620.0,
2020-12-01 02:54:15-03:00,,8964.0
2020-12-01 02:57:33-03:00,94621.0,
2020-12-01 02:59:16-03:00,,8964.0
2020-12-01 03:02:33-03:00,94621.0,
2020-12-01 03:04:16-03:00,,8964.0
2020-12-01 03:07:34-03:00,94622.0,
2020-12-01 03:09:16-03:00,,8964.0
2020-12-01 03:12:34-03:00,94623.0,
2020-12-01 03:14:16-03:00,,8964.0
2020-12-01 03:17:34-03:00,94623.0,
2020-12-01 03:19:17-03:00,,8964.0
2020-12-01 03:22:35-03:00,94624.0,
2020-12-01 03:24:17-03:00,,8964.0
2020-12-01 03:27:35-03:00,94625.0,
2020-12-01 03:29:17-03:00,,8964.0
2020-12-01 03:32:35-03:00,94625.0,
2020-12-01 03:34:18-03:00,,8964.0
2020-12-01 03:37:35-03:00,94626.0,
2020-12-01 03:39:18-03:00,,8964.0
2020-12-01 03:42:36-03:00,94627.0,
2020-12-01 03:44:18-03:00,,8964.0
2020-12-01 03:47:36-03:00,94627.0,
2020-12-01 03:49:19-03:00,,8964.0
2020-12-01 03:52:36-03:00,94628.0,
2020-12-01 03:54:19-03:00,,8964.0
2020-12-01 03:57:37-03:00,94628.0,
2020-12-01 03:59:19-03:00,,8964.0
2020-12-01 04:02:37-03:00,94629.0,
2020-12-01 04:04:20-03:00,,8964.0
2020-12-01 04:07:37-03:00,94630.0,
2020-12-01 04:09:20-03:00,,8964.0
2020-12-01 04:12:38-03:00,94630.0,
2020-12-01 04:14:20-03:00,,8964.0
2020-12-01 04:17:38-03:00,94631.0,
2020-12-01 04:19:21-03:00,,8964.0
2020-12-01 04:22:38-03:00,94632.0,
2020-12-01 04:24:21-03:00,,8964.0
2020-12-01 04:27:39-03:00,94632.0,
2020-12-01 04:29:21-03:00,,8964.0
2020-12-01 04:32:39-03:00,94633.0,
2020-12-01 04:34:22-03:00,,8964.0
2020-12-01 04:37:39-03:00,94633.0,
2020-12-01 04:39:22-03:00,,8964.0
2020-12-01 04:42:40-03:00,94634.0,
2020-12-01 04:44:22-03:00,,8964.0
2020-12-01 04:47:40-03:00,94635.0,
2020-12-01 04:49:22-03:00,,8964.0
2020-12-01 04:52:40-03:00,94635.0,
2020-12-01 04:54:23-03:00,,8964.0
2020-12-01 04:57:41-03:00,94636.0,
2020-12-01 04:59:23-03:00,,8964.0
2020-12-01 05:02:41-03:00,94637.0,
2020-12-01 05:04:23-03:00,,8964.0
2020-12-01 05:07:41-03:00,94637.0,
2020-12-01 05:09:24-03:00,,8964.0
2020-12-01 05:12:41-03:00,94638.0,
2020-12-01 05:14:24-03:00,,8964.0
2020-12-01 05:17:42-03:00,94638.0,
2020-12-01 05:19:24-03:00,,8964.0
2020-12-01 05:22:42-03:00,94639.0,
2020-12-01 05:24:25-03:00,,8964.0
2020-12-01 05:27:42-03:00,94640.0,
2020-12-01 05:29:25-03:00,,8964.0
2020-12-01 05:32:43-03:00,94640.0,
2020-12-01 05:34:25-03:00,,8964.0
2020-12-01 05:37:43-03:00,94641.0,
2020-12-01 05:39:26-03:00,,8964.0
2020-12-01 05:42:43-03:00,94642.0,
2020-12-01 05:44:26-03:00,,8964.0
2020-12-01 05:47:44-03:00,94642.0,
2020-12-01 05:49:26-03:00,,8964.0
2020-12-01 05:52:44-03:00,94643.0,
2020-12-01 05:54:27-03:00,,8964.0
2020-12-01 05:57:44-03:00,94644.0,
2020-12-01 05:59:27-03:00,,8964.0
2020-12-01 06:02:45-03:00,94645.0,
2020-12-01 06:04:27-03:00,,8964.0
2020-12-01 06:07:45-03:00,94646.0,
2020-12-01 06:09:27-03:00,,8964.0
2020-12-01 06:12:45-03:00,94647.0,
2020-12-01 06:14:28-03:00,,8964.0
2020-12-01 06:17:46-03:00,94649.0,
2020-12-01 06:19:28-03:00,,8964.0
2020-12-01 06:22:46-03:00,94650.0,
2020-12-01 06:24:28-03:00,,8964.0
2020-12-01 06:27:46-03:00,94651.0,
2020-12-01 06:29:29-03:00,,8964.0
2020-12-01 06:32:47-03:00,94652.0,
