date,APR Los Cerrillos >> Pozo >> Caudal Pozo(12775)
2020-11-30 21:01:01-03:00,0.0
2020-11-30 21:01:02-03:00,0.0
2020-11-30 21:06:02-03:00,0.0
2020-11-30 21:11:02-03:00,0.0
2020-11-30 21:16:02-03:00,9.09
2020-11-30 21:21:03-03:00,9.09
2020-11-30 21:26:03-03:00,9.09
2020-11-30 21:31:03-03:00,9.09
2020-11-30 21:36:03-03:00,9.09
2020-11-30 21:36:04-03:00,9.09
2020-11-30 21:41:04-03:00,9.09
2020-11-30 21:46:04-03:00,9.09
2020-11-30 21:51:04-03:00,9.09
2020-11-30 21:51:05-03:00,9.09
2020-11-30 21:56:05-03:00,9.09
2020-11-30 22:01:05-03:00,9.09
2020-11-30 22:06:05-03:00,9.09
2020-11-30 22:06:06-03:00,9.09
2020-11-30 22:11:06-03:00,9.09
2020-11-30 22:16:06-03:00,9.09
2020-11-30 22:21:06-03:00,9.09
2020-11-30 22:26:07-03:00,9.09
2020-11-30 22:31:07-03:00,9.09
2020-11-30 22:36:07-03:00,9.09
2020-11-30 22:41:07-03:00,9.09
2020-11-30 22:41:08-03:00,9.09
2020-11-30 22:46:08-03:00,0.0
2020-11-30 22:51:08-03:00,0.0
2020-11-30 22:56:08-03:00,0.0
2020-11-30 22:56:09-03:00,0.0
2020-11-30 23:01:09-03:00,0.0
2020-11-30 23:06:09-03:00,0.0
2020-11-30 23:11:09-03:00,0.0
2020-11-30 23:11:10-03:00,0.0
2020-11-30 23:16:10-03:00,0.0
2020-11-30 23:21:10-03:00,0.0
2020-11-30 23:26:10-03:00,0.0
2020-11-30 23:31:11-03:00,0.0
2020-11-30 23:36:11-03:00,0.0
2020-11-30 23:41:11-03:00,0.0
2020-11-30 23:46:11-03:00,0.0
2020-11-30 23:46:12-03:00,0.0
2020-11-30 23:51:12-03:00,0.0
2020-11-30 23:56:12-03:00,0.0
2020-12-01 00:01:12-03:00,0.0
2020-12-01 00:01:13-03:00,0.0
2020-12-01 00:06:13-03:00,0.0
2020-12-01 00:11:13-03:00,0.0
2020-12-01 00:16:13-03:00,0.0
2020-12-01 00:21:13-03:00,0.0
2020-12-01 00:21:14-03:00,0.0
2020-12-01 00:26:14-03:00,9.09
2020-12-01 00:31:14-03:00,9.09
2020-12-01 00:36:14-03:00,9.09
2020-12-01 00:36:15-03:00,9.09
2020-12-01 00:41:15-03:00,9.09
2020-12-01 00:46:15-03:00,9.09
2020-12-01 00:51:15-03:00,9.09
2020-12-01 00:51:16-03:00,9.09
2020-12-01 00:56:16-03:00,9.09
2020-12-01 01:01:16-03:00,9.09
2020-12-01 01:06:16-03:00,9.09
2020-12-01 01:11:17-03:00,0.0
2020-12-01 01:16:17-03:00,0.0
2020-12-01 01:21:17-03:00,0.0
2020-12-01 01:26:17-03:00,0.0
2020-12-01 01:26:18-03:00,0.0
2020-12-01 01:31:18-03:00,0.0
2020-12-01 01:36:18-03:00,0.0
2020-12-01 01:41:18-03:00,0.0
2020-12-01 01:41:19-03:00,0.0
2020-12-01 01:46:19-03:00,0.0
2020-12-01 01:51:19-03:00,0.0
2020-12-01 01:56:19-03:00,0.0
2020-12-01 01:56:20-03:00,0.0
2020-12-01 02:01:19-03:00,0.0
2020-12-01 02:01:20-03:00,0.0
2020-12-01 02:06:20-03:00,0.0
2020-12-01 02:11:20-03:00,0.0
2020-12-01 02:16:20-03:00,0.0
2020-12-01 02:16:21-03:00,0.0
2020-12-01 02:21:21-03:00,0.0
2020-12-01 02:26:21-03:00,0.0
2020-12-01 02:31:21-03:00,0.0
2020-12-01 02:31:22-03:00,0.0
2020-12-01 02:36:22-03:00,0.0
2020-12-01 02:41:22-03:00,0.0
2020-12-01 02:46:22-03:00,0.0
2020-12-01 02:46:23-03:00,0.0
2020-12-01 02:51:23-03:00,0.0
2020-12-01 02:56:23-03:00,0.0
2020-12-01 03:01:23-03:00,0.0
2020-12-01 03:01:24-03:00,0.0
2020-12-01 03:06:23-03:00,0.0
2020-12-01 03:06:24-03:00,0.0
2020-12-01 03:11:24-03:00,0.0
2020-12-01 03:16:24-03:00,0.0
2020-12-01 03:21:24-03:00,0.0
2020-12-01 03:21:25-03:00,0.0
2020-12-01 03:26:25-03:00,0.0
2020-12-01 03:31:25-03:00,0.0
2020-12-01 03:36:25-03:00,0.0
2020-12-01 03:36:26-03:00,0.0
2020-12-01 03:41:26-03:00,0.0
2020-12-01 03:46:26-03:00,0.0
2020-12-01 03:51:26-03:00,0.0
2020-12-01 03:51:27-03:00,0.0
2020-12-01 03:56:27-03:00,0.0
2020-12-01 04:01:27-03:00,0.0
2020-12-01 04:06:27-03:00,0.0
2020-12-01 04:06:28-03:00,0.0
2020-12-01 04:11:27-03:00,0.0
2020-12-01 04:11:28-03:00,0.0
2020-12-01 04:16:28-03:00,0.0
2020-12-01 04:21:28-03:00,0.0
2020-12-01 04:26:28-03:00,0.0
2020-12-01 04:26:29-03:00,0.0
2020-12-01 04:31:29-03:00,0.0
2020-12-01 04:36:29-03:00,0.0
2020-12-01 04:41:29-03:00,0.0
2020-12-01 04:41:30-03:00,0.0
2020-12-01 04:46:30-03:00,0.0
2020-12-01 04:51:30-03:00,0.0
2020-12-01 04:56:30-03:00,0.0
2020-12-01 04:56:31-03:00,0.0
2020-12-01 05:01:31-03:00,0.0
2020-12-01 05:06:31-03:00,0.0
2020-12-01 05:11:31-03:00,0.0
2020-12-01 05:11:32-03:00,0.0
2020-12-01 05:16:31-03:00,9.09
2020-12-01 05:16:32-03:00,9.09
2020-12-01 05:21:32-03:00,9.09
2020-12-01 05:26:32-03:00,9.09
2020-12-01 05:31:32-03:00,9.09
2020-12-01 05:31:33-03:00,9.09
2020-12-01 05:36:33-03:00,9.09
2020-12-01 05:41:33-03:00,9.09
2020-12-01 05:46:33-03:00,9.09
2020-12-01 05:46:34-03:00,9.09
2020-12-01 05:51:34-03:00,9.09
2020-12-01 05:56:34-03:00,9.09
2020-12-01 06:01:34-03:00,0.0
2020-12-01 06:01:35-03:00,0.0
2020-12-01 06:06:35-03:00,0.0
2020-12-01 06:11:35-03:00,0.0
2020-12-01 06:16:35-03:00,0.0
2020-12-01 06:16:36-03:00,0.0
2020-12-01 06:21:35-03:00,0.0
2020-12-01 06:21:36-03:00,0.0
2020-12-01 06:26:36-03:00,0.0
2020-12-01 06:31:36-03:00,0.0
2020-12-01 06:36:36-03:00,0.0
2020-12-01 06:36:37-03:00,0.0
2020-12-01 06:41:37-03:00,0.0
2020-12-01 06:46:37-03:00,0.0
2020-12-01 06:51:37-03:00,0.0
2020-12-01 06:51:38-03:00,0.0
2020-12-01 06:56:38-03:00,0.0
2020-12-01 07:01:38-03:00,0.0
2020-12-01 07:06:38-03:00,0.0
2020-12-01 07:06:39-03:00,0.0
2020-12-01 07:11:38-03:00,0.0
2020-12-01 07:11:39-03:00,0.0
2020-12-01 07:16:39-03:00,0.0
2020-12-01 07:21:39-03:00,0.0
2020-12-01 07:26:39-03:00,0.0
2020-12-01 07:26:40-03:00,0.0
2020-12-01 07:31:40-03:00,0.0
