date,APR Caleu >> Pozo >> Horómetro Pozo(7211)
2020-11-30 21:01:59-03:00,11449.0
2020-11-30 21:06:59-03:00,11449.0
2020-11-30 21:12:00-03:00,11449.0
2020-11-30 21:17:00-03:00,11449.0
2020-11-30 21:22:00-03:00,11449.0
2020-11-30 21:27:00-03:00,11449.0
2020-11-30 21:32:01-03:00,11449.0
2020-11-30 21:37:01-03:00,11449.0
2020-11-30 21:42:01-03:00,11449.0
2020-11-30 21:47:02-03:00,11449.0
2020-11-30 21:52:02-03:00,11449.0
2020-11-30 21:57:02-03:00,11449.0
2020-11-30 22:02:03-03:00,11449.0
2020-11-30 22:07:03-03:00,11449.0
2020-11-30 22:12:03-03:00,11449.0
2020-11-30 22:17:04-03:00,11449.0
2020-11-30 22:22:04-03:00,11449.0
2020-11-30 22:27:04-03:00,11449.0
2020-11-30 22:32:05-03:00,11449.0
2020-11-30 22:37:05-03:00,11449.0
2020-11-30 22:42:05-03:00,11449.0
2020-11-30 22:47:05-03:00,11449.0
2020-11-30 22:52:06-03:00,11449.0
2020-11-30 22:57:06-03:00,11449.0
2020-11-30 23:02:06-03:00,11449.0
2020-11-30 23:07:07-03:00,11449.0
2020-11-30 23:12:07-03:00,11449.0
2020-11-30 23:17:07-03:00,11449.0
2020-11-30 23:22:08-03:00,11449.0
2020-11-30 23:27:08-03:00,11449.0
2020-11-30 23:32:08-03:00,11449.0
2020-11-30 23:37:09-03:00,11449.0
2020-11-30 23:42:09-03:00,11449.0
2020-11-30 23:47:09-03:00,11449.0
2020-11-30 23:52:09-03:00,11450.0
2020-11-30 23:57:10-03:00,11450.0
2020-12-01 00:02:10-03:00,11450.0
2020-12-01 00:07:11-03:00,11450.0
2020-12-01 00:12:11-03:00,11450.0
2020-12-01 00:17:12-03:00,11450.0
2020-12-01 00:22:12-03:00,11450.0
2020-12-01 00:27:12-03:00,11450.0
2020-12-01 00:32:12-03:00,11450.0
2020-12-01 00:37:13-03:00,11450.0
2020-12-01 00:42:13-03:00,11450.0
2020-12-01 00:47:13-03:00,11450.0
2020-12-01 00:52:14-03:00,11450.0
2020-12-01 00:57:14-03:00,11450.0
2020-12-01 01:02:14-03:00,11450.0
2020-12-01 01:07:15-03:00,11450.0
