date,APR El Sauce >> Estanque Terraplén >> Estado Bomba(23379)
2020-11-30 21:03:04-03:00,0.0
2020-11-30 21:08:05-03:00,0.0
2020-11-30 21:13:05-03:00,0.0
2020-11-30 21:18:05-03:00,0.0
2020-11-30 21:23:06-03:00,0.0
2020-11-30 21:28:06-03:00,0.0
2020-11-30 21:33:06-03:00,0.0
2020-11-30 21:38:06-03:00,0.0
2020-11-30 21:43:07-03:00,0.0
2020-11-30 21:48:07-03:00,0.0
2020-11-30 21:53:07-03:00,0.0
2020-11-30 21:58:08-03:00,0.0
2020-11-30 22:03:08-03:00,0.0
2020-11-30 22:08:09-03:00,0.0
2020-11-30 22:13:09-03:00,0.0
2020-11-30 22:18:09-03:00,0.0
2020-11-30 22:23:10-03:00,0.0
2020-11-30 22:26:41-03:00,1.0
2020-11-30 22:27:24-03:00,0.0
2020-11-30 22:32:24-03:00,0.0
2020-11-30 22:37:25-03:00,0.0
2020-11-30 22:42:25-03:00,0.0
2020-11-30 22:47:25-03:00,0.0
2020-11-30 22:52:25-03:00,0.0
2020-11-30 22:57:26-03:00,0.0
2020-11-30 23:02:26-03:00,0.0
2020-11-30 23:07:26-03:00,0.0
2020-11-30 23:12:27-03:00,0.0
2020-11-30 23:17:27-03:00,0.0
2020-11-30 23:22:27-03:00,0.0
2020-11-30 23:27:28-03:00,0.0
2020-11-30 23:32:28-03:00,0.0
2020-11-30 23:37:28-03:00,0.0
2020-11-30 23:42:29-03:00,0.0
2020-11-30 23:47:29-03:00,0.0
2020-11-30 23:52:29-03:00,0.0
2020-11-30 23:57:29-03:00,0.0
2020-12-01 00:02:30-03:00,0.0
2020-12-01 00:07:30-03:00,0.0
2020-12-01 00:12:31-03:00,0.0
2020-12-01 00:17:31-03:00,0.0
2020-12-01 00:22:31-03:00,0.0
2020-12-01 00:27:31-03:00,0.0
2020-12-01 00:32:32-03:00,0.0
2020-12-01 00:37:32-03:00,0.0
2020-12-01 00:42:32-03:00,0.0
2020-12-01 00:47:33-03:00,0.0
2020-12-01 00:52:33-03:00,0.0
2020-12-01 00:57:33-03:00,0.0
2020-12-01 01:02:34-03:00,0.0
2020-12-01 01:07:34-03:00,0.0
2020-12-01 01:12:34-03:00,0.0
2020-12-01 01:17:35-03:00,0.0
2020-12-01 01:22:35-03:00,0.0
2020-12-01 01:27:35-03:00,0.0
2020-12-01 01:32:36-03:00,0.0
2020-12-01 01:37:36-03:00,0.0
2020-12-01 01:42:36-03:00,0.0
2020-12-01 01:47:36-03:00,0.0
2020-12-01 01:52:37-03:00,0.0
2020-12-01 01:57:37-03:00,0.0
2020-12-01 02:02:37-03:00,0.0
2020-12-01 02:07:38-03:00,0.0
2020-12-01 02:12:38-03:00,0.0
2020-12-01 02:17:39-03:00,0.0
2020-12-01 02:22:39-03:00,0.0
2020-12-01 02:27:39-03:00,0.0
2020-12-01 02:32:40-03:00,0.0
2020-12-01 02:37:40-03:00,0.0
2020-12-01 02:42:40-03:00,0.0
2020-12-01 02:47:41-03:00,0.0
2020-12-01 02:52:41-03:00,0.0
2020-12-01 02:57:41-03:00,0.0
2020-12-01 03:02:42-03:00,0.0
2020-12-01 03:07:42-03:00,0.0
2020-12-01 03:12:42-03:00,0.0
2020-12-01 03:17:42-03:00,0.0
2020-12-01 03:22:43-03:00,0.0
2020-12-01 03:27:43-03:00,0.0
2020-12-01 03:32:43-03:00,0.0
2020-12-01 03:37:44-03:00,0.0
2020-12-01 03:42:44-03:00,0.0
2020-12-01 03:47:44-03:00,0.0
2020-12-01 03:52:45-03:00,0.0
2020-12-01 03:57:45-03:00,0.0
2020-12-01 04:02:45-03:00,0.0
2020-12-01 04:07:46-03:00,0.0
2020-12-01 04:12:47-03:00,0.0
2020-12-01 04:17:47-03:00,0.0
2020-12-01 04:22:47-03:00,0.0
2020-12-01 04:27:48-03:00,0.0
2020-12-01 04:32:48-03:00,0.0
2020-12-01 04:37:48-03:00,0.0
2020-12-01 04:42:49-03:00,0.0
2020-12-01 04:47:49-03:00,0.0
2020-12-01 04:52:49-03:00,0.0
2020-12-01 04:57:49-03:00,0.0
2020-12-01 05:02:50-03:00,0.0
2020-12-01 05:07:50-03:00,0.0
2020-12-01 05:12:50-03:00,0.0
2020-12-01 05:17:51-03:00,0.0
2020-12-01 05:22:51-03:00,0.0
2020-12-01 05:27:51-03:00,0.0
2020-12-01 05:32:52-03:00,0.0
2020-12-01 05:37:52-03:00,0.0
2020-12-01 05:42:52-03:00,0.0
2020-12-01 05:47:53-03:00,0.0
2020-12-01 05:52:53-03:00,0.0
2020-12-01 05:57:53-03:00,0.0
2020-12-01 06:02:54-03:00,0.0
2020-12-01 06:07:54-03:00,0.0
2020-12-01 06:12:56-03:00,0.0
2020-12-01 06:17:56-03:00,0.0
2020-12-01 06:22:56-03:00,0.0
2020-12-01 06:27:57-03:00,0.0
2020-12-01 06:32:17-03:00,1.0
2020-12-01 06:37:17-03:00,1.0
2020-12-01 06:42:18-03:00,1.0
2020-12-01 06:47:18-03:00,1.0
2020-12-01 06:52:18-03:00,1.0
2020-12-01 06:57:19-03:00,1.0
2020-12-01 07:02:19-03:00,1.0
2020-12-01 07:07:20-03:00,1.0
2020-12-01 07:12:20-03:00,1.0
2020-12-01 07:17:20-03:00,1.0
2020-12-01 07:22:21-03:00,1.0
2020-12-01 07:27:21-03:00,1.0
2020-12-01 07:32:21-03:00,1.0
2020-12-01 07:37:22-03:00,1.0
2020-12-01 07:37:55-03:00,0.0
2020-12-01 07:42:55-03:00,0.0
2020-12-01 07:47:55-03:00,0.0
2020-12-01 07:52:56-03:00,0.0
2020-12-01 07:57:56-03:00,0.0
2020-12-01 08:02:57-03:00,0.0
2020-12-01 08:07:57-03:00,0.0
2020-12-01 08:12:57-03:00,0.0
2020-12-01 08:17:57-03:00,0.0
2020-12-01 08:22:58-03:00,0.0
2020-12-01 08:27:58-03:00,0.0
2020-12-01 08:32:58-03:00,0.0
2020-12-01 08:37:59-03:00,0.0
2020-12-01 08:42:59-03:00,0.0
2020-12-01 08:47:59-03:00,0.0
2020-12-01 08:53:00-03:00,0.0
2020-12-01 08:58:00-03:00,0.0
2020-12-01 09:03:01-03:00,0.0
2020-12-01 09:08:02-03:00,0.0
2020-12-01 09:13:02-03:00,0.0
2020-12-01 09:18:02-03:00,0.0
2020-12-01 09:23:02-03:00,0.0
2020-12-01 09:28:03-03:00,0.0
2020-12-01 09:33:03-03:00,0.0
2020-12-01 09:38:03-03:00,0.0
2020-12-01 09:43:04-03:00,0.0
2020-12-01 09:48:04-03:00,0.0
2020-12-01 09:53:04-03:00,0.0
2020-12-01 09:58:05-03:00,0.0
2020-12-01 10:03:07-03:00,0.0
2020-12-01 10:08:06-03:00,0.0
2020-12-01 10:13:06-03:00,0.0
2020-12-01 10:18:06-03:00,0.0
2020-12-01 10:23:07-03:00,0.0
2020-12-01 10:28:07-03:00,0.0
2020-12-01 10:33:07-03:00,0.0
2020-12-01 10:38:07-03:00,0.0
2020-12-01 10:43:08-03:00,0.0
2020-12-01 10:48:08-03:00,0.0
2020-12-01 10:53:08-03:00,0.0
2020-12-01 10:58:09-03:00,0.0
2020-12-01 11:03:10-03:00,0.0
2020-12-01 11:08:10-03:00,0.0
2020-12-01 11:13:10-03:00,0.0
2020-12-01 11:18:11-03:00,0.0
2020-12-01 11:23:11-03:00,0.0
2020-12-01 11:28:11-03:00,0.0
2020-12-01 11:33:12-03:00,0.0
2020-12-01 11:38:12-03:00,0.0
2020-12-01 11:43:12-03:00,0.0
2020-12-01 11:48:13-03:00,0.0
2020-12-01 11:53:13-03:00,0.0
2020-12-01 11:58:13-03:00,0.0
2020-12-01 12:03:14-03:00,0.0
2020-12-01 12:08:14-03:00,0.0
2020-12-01 12:13:15-03:00,0.0
2020-12-01 12:18:15-03:00,0.0
2020-12-01 12:23:15-03:00,0.0
2020-12-01 12:28:15-03:00,0.0
2020-12-01 12:33:16-03:00,0.0
2020-12-01 12:38:16-03:00,0.0
2020-12-01 12:43:16-03:00,0.0
2020-12-01 12:48:17-03:00,0.0
2020-12-01 12:53:17-03:00,0.0
2020-12-01 12:58:17-03:00,0.0
2020-12-01 13:03:18-03:00,0.0
2020-12-01 13:08:18-03:00,0.0
2020-12-01 13:13:18-03:00,0.0
2020-12-01 13:18:19-03:00,0.0
2020-12-01 13:23:19-03:00,0.0
2020-12-01 13:28:19-03:00,0.0
2020-12-01 13:33:20-03:00,0.0
2020-12-01 13:38:20-03:00,0.0
2020-12-01 13:43:20-03:00,0.0
2020-12-01 13:48:20-03:00,0.0
2020-12-01 13:53:21-03:00,0.0
2020-12-01 13:58:21-03:00,0.0
2020-12-01 14:03:22-03:00,0.0
2020-12-01 14:08:21-03:00,0.0
2020-12-01 14:13:22-03:00,0.0
2020-12-01 14:18:22-03:00,0.0
2020-12-01 14:23:22-03:00,0.0
2020-12-01 14:28:23-03:00,0.0
2020-12-01 14:33:23-03:00,0.0
2020-12-01 14:38:25-03:00,0.0
2020-12-01 14:43:25-03:00,0.0
2020-12-01 14:48:26-03:00,0.0
2020-12-01 14:53:26-03:00,0.0
