date,APR Las Calderas RP1 >> Pozo Pedrero >> Estado Bomba Pozo Pedrero(14072)
2020-11-30 21:03:52-03:00,1.0
2020-11-30 21:08:53-03:00,1.0
2020-11-30 21:12:22-03:00,0.0
2020-11-30 21:13:53-03:00,0.0
2020-11-30 21:18:53-03:00,0.0
2020-11-30 21:23:54-03:00,0.0
2020-11-30 21:28:54-03:00,0.0
2020-11-30 21:33:54-03:00,0.0
2020-11-30 21:38:55-03:00,0.0
2020-11-30 21:43:55-03:00,0.0
2020-11-30 21:48:55-03:00,0.0
2020-11-30 21:53:56-03:00,0.0
2020-11-30 21:58:56-03:00,0.0
2020-11-30 22:03:57-03:00,0.0
2020-11-30 22:08:57-03:00,0.0
2020-11-30 22:12:26-03:00,1.0
2020-11-30 22:13:57-03:00,1.0
2020-11-30 22:18:57-03:00,1.0
2020-11-30 22:23:58-03:00,1.0
2020-11-30 22:28:58-03:00,1.0
2020-11-30 22:33:58-03:00,1.0
2020-11-30 22:38:59-03:00,1.0
2020-11-30 22:43:59-03:00,1.0
2020-11-30 22:48:59-03:00,1.0
2020-11-30 22:54:00-03:00,1.0
2020-11-30 22:57:29-03:00,0.0
2020-11-30 22:59:00-03:00,0.0
2020-11-30 23:04:00-03:00,0.0
2020-11-30 23:09:01-03:00,0.0
2020-11-30 23:14:01-03:00,0.0
2020-11-30 23:19:01-03:00,0.0
2020-11-30 23:24:01-03:00,0.0
2020-11-30 23:29:02-03:00,0.0
2020-11-30 23:34:02-03:00,0.0
2020-11-30 23:39:02-03:00,0.0
2020-11-30 23:44:03-03:00,0.0
2020-11-30 23:49:03-03:00,0.0
2020-11-30 23:54:03-03:00,0.0
2020-11-30 23:59:04-03:00,0.0
2020-12-01 00:04:04-03:00,0.0
2020-12-01 00:09:04-03:00,0.0
2020-12-01 00:14:05-03:00,0.0
2020-12-01 00:19:05-03:00,0.0
2020-12-01 00:24:05-03:00,0.0
2020-12-01 00:29:06-03:00,0.0
2020-12-01 00:34:06-03:00,0.0
2020-12-01 00:39:06-03:00,0.0
2020-12-01 00:42:36-03:00,1.0
2020-12-01 00:44:07-03:00,1.0
2020-12-01 00:49:07-03:00,1.0
2020-12-01 00:54:07-03:00,1.0
2020-12-01 00:59:07-03:00,1.0
2020-12-01 01:04:08-03:00,1.0
2020-12-01 01:09:08-03:00,1.0
2020-12-01 01:14:08-03:00,1.0
2020-12-01 01:19:09-03:00,1.0
2020-12-01 01:24:09-03:00,1.0
2020-12-01 01:27:39-03:00,0.0
2020-12-01 01:29:09-03:00,0.0
2020-12-01 01:34:10-03:00,0.0
2020-12-01 01:39:10-03:00,0.0
2020-12-01 01:44:10-03:00,0.0
2020-12-01 01:49:11-03:00,0.0
2020-12-01 01:54:11-03:00,0.0
2020-12-01 01:59:11-03:00,0.0
2020-12-01 02:04:12-03:00,0.0
2020-12-01 02:09:12-03:00,0.0
2020-12-01 02:14:13-03:00,0.0
2020-12-01 02:19:13-03:00,0.0
2020-12-01 02:24:13-03:00,0.0
2020-12-01 02:29:14-03:00,0.0
2020-12-01 02:34:14-03:00,0.0
2020-12-01 02:39:14-03:00,0.0
2020-12-01 02:44:15-03:00,0.0
2020-12-01 02:49:15-03:00,0.0
2020-12-01 02:54:15-03:00,0.0
2020-12-01 02:59:16-03:00,0.0
2020-12-01 03:04:16-03:00,0.0
2020-12-01 03:09:16-03:00,0.0
2020-12-01 03:14:16-03:00,0.0
2020-12-01 03:19:17-03:00,0.0
2020-12-01 03:24:17-03:00,0.0
2020-12-01 03:29:17-03:00,0.0
2020-12-01 03:34:18-03:00,0.0
2020-12-01 03:39:18-03:00,0.0
2020-12-01 03:44:18-03:00,0.0
2020-12-01 03:49:19-03:00,0.0
2020-12-01 03:54:19-03:00,0.0
2020-12-01 03:59:19-03:00,0.0
2020-12-01 04:04:20-03:00,0.0
2020-12-01 04:09:20-03:00,0.0
2020-12-01 04:14:20-03:00,0.0
2020-12-01 04:19:21-03:00,0.0
2020-12-01 04:24:21-03:00,0.0
2020-12-01 04:29:21-03:00,0.0
2020-12-01 04:34:22-03:00,0.0
2020-12-01 04:39:22-03:00,0.0
2020-12-01 04:44:22-03:00,0.0
2020-12-01 04:49:22-03:00,0.0
2020-12-01 04:54:23-03:00,0.0
2020-12-01 04:59:23-03:00,0.0
2020-12-01 05:04:23-03:00,0.0
2020-12-01 05:09:24-03:00,0.0
2020-12-01 05:14:24-03:00,0.0
2020-12-01 05:19:24-03:00,0.0
2020-12-01 05:24:25-03:00,0.0
2020-12-01 05:29:25-03:00,0.0
2020-12-01 05:34:25-03:00,0.0
2020-12-01 05:39:26-03:00,0.0
2020-12-01 05:44:26-03:00,0.0
2020-12-01 05:49:26-03:00,0.0
2020-12-01 05:54:27-03:00,0.0
2020-12-01 05:59:27-03:00,0.0
2020-12-01 06:04:27-03:00,0.0
2020-12-01 06:09:27-03:00,0.0
2020-12-01 06:14:28-03:00,0.0
2020-12-01 06:19:28-03:00,0.0
2020-12-01 06:24:28-03:00,0.0
2020-12-01 06:29:29-03:00,0.0
2020-12-01 06:34:29-03:00,0.0
2020-12-01 06:39:29-03:00,0.0
2020-12-01 06:44:30-03:00,0.0
2020-12-01 06:49:30-03:00,0.0
2020-12-01 06:54:30-03:00,0.0
2020-12-01 06:59:31-03:00,0.0
2020-12-01 07:03:00-03:00,1.0
2020-12-01 07:04:31-03:00,1.0
2020-12-01 07:09:31-03:00,1.0
2020-12-01 07:14:32-03:00,1.0
2020-12-01 07:19:32-03:00,1.0
2020-12-01 07:24:32-03:00,1.0
2020-12-01 07:29:33-03:00,1.0
2020-12-01 07:34:33-03:00,1.0
2020-12-01 07:39:33-03:00,1.0
2020-12-01 07:44:33-03:00,1.0
2020-12-01 07:48:03-03:00,0.0
2020-12-01 07:49:34-03:00,0.0
2020-12-01 07:54:34-03:00,0.0
2020-12-01 07:59:34-03:00,0.0
2020-12-01 08:04:35-03:00,0.0
2020-12-01 08:09:35-03:00,0.0
2020-12-01 08:14:35-03:00,0.0
2020-12-01 08:19:36-03:00,0.0
2020-12-01 08:24:36-03:00,0.0
2020-12-01 08:29:36-03:00,0.0
2020-12-01 08:34:37-03:00,0.0
2020-12-01 08:39:37-03:00,0.0
2020-12-01 08:44:37-03:00,0.0
2020-12-01 08:49:38-03:00,0.0
2020-12-01 08:54:38-03:00,0.0
2020-12-01 08:59:38-03:00,0.0
2020-12-01 09:04:38-03:00,0.0
2020-12-01 09:09:39-03:00,0.0
2020-12-01 09:14:39-03:00,0.0
2020-12-01 09:19:39-03:00,0.0
2020-12-01 09:24:40-03:00,0.0
2020-12-01 09:29:40-03:00,0.0
2020-12-01 09:33:10-03:00,1.0
2020-12-01 09:34:40-03:00,1.0
2020-12-01 09:39:41-03:00,1.0
2020-12-01 09:44:41-03:00,1.0
2020-12-01 09:49:41-03:00,1.0
2020-12-01 09:54:42-03:00,1.0
2020-12-01 09:59:42-03:00,1.0
2020-12-01 10:04:42-03:00,1.0
2020-12-01 10:09:42-03:00,1.0
2020-12-01 10:14:43-03:00,1.0
2020-12-01 10:19:43-03:00,1.0
2020-12-01 10:23:13-03:00,0.0
2020-12-01 10:24:43-03:00,0.0
2020-12-01 10:29:44-03:00,0.0
2020-12-01 10:34:44-03:00,0.0
2020-12-01 10:39:44-03:00,0.0
2020-12-01 10:44:45-03:00,0.0
2020-12-01 10:49:45-03:00,0.0
2020-12-01 10:54:45-03:00,0.0
2020-12-01 10:59:46-03:00,0.0
2020-12-01 11:04:46-03:00,0.0
2020-12-01 11:09:46-03:00,0.0
2020-12-01 11:14:47-03:00,0.0
2020-12-01 11:19:47-03:00,0.0
2020-12-01 11:24:47-03:00,0.0
2020-12-01 11:29:47-03:00,0.0
2020-12-01 11:33:17-03:00,1.0
2020-12-01 11:34:48-03:00,1.0
2020-12-01 11:39:48-03:00,1.0
2020-12-01 11:44:48-03:00,1.0
2020-12-01 11:49:49-03:00,1.0
2020-12-01 11:54:49-03:00,1.0
2020-12-01 11:59:49-03:00,1.0
2020-12-01 12:04:50-03:00,1.0
2020-12-01 12:09:50-03:00,1.0
2020-12-01 12:14:50-03:00,1.0
2020-12-01 12:18:20-03:00,0.0
2020-12-01 12:19:51-03:00,0.0
2020-12-01 12:24:51-03:00,0.0
2020-12-01 12:29:51-03:00,0.0
2020-12-01 12:34:52-03:00,0.0
2020-12-01 12:39:52-03:00,0.0
2020-12-01 12:44:52-03:00,0.0
2020-12-01 12:49:52-03:00,0.0
2020-12-01 12:54:53-03:00,0.0
2020-12-01 12:59:53-03:00,0.0
2020-12-01 13:04:53-03:00,0.0
2020-12-01 13:09:54-03:00,0.0
2020-12-01 13:14:54-03:00,0.0
2020-12-01 13:19:54-03:00,0.0
2020-12-01 13:24:55-03:00,0.0
2020-12-01 13:29:55-03:00,0.0
2020-12-01 13:34:55-03:00,0.0
2020-12-01 13:38:25-03:00,1.0
2020-12-01 13:39:56-03:00,1.0
2020-12-01 13:44:56-03:00,1.0
2020-12-01 13:49:56-03:00,1.0
2020-12-01 13:54:57-03:00,1.0
2020-12-01 13:59:57-03:00,1.0
2020-12-01 14:04:58-03:00,1.0
2020-12-01 14:09:58-03:00,1.0
2020-12-01 14:14:58-03:00,1.0
2020-12-01 14:19:59-03:00,1.0
2020-12-01 14:24:59-03:00,1.0
2020-12-01 14:28:29-03:00,0.0
2020-12-01 14:29:59-03:00,0.0
2020-12-01 14:35:00-03:00,0.0
2020-12-01 14:40:00-03:00,0.0
2020-12-01 14:45:00-03:00,0.0
2020-12-01 14:50:01-03:00,0.0
2020-12-01 14:55:01-03:00,0.0
2020-12-01 15:00:01-03:00,0.0
2020-12-01 15:05:01-03:00,0.0
2020-12-01 15:10:02-03:00,0.0
2020-12-01 15:15:02-03:00,0.0
2020-12-01 15:20:02-03:00,0.0
2020-12-01 15:25:03-03:00,0.0
2020-12-01 15:30:03-03:00,0.0
2020-12-01 15:35:03-03:00,0.0
2020-12-01 15:40:04-03:00,0.0
2020-12-01 15:45:04-03:00,0.0
2020-12-01 15:50:04-03:00,0.0
2020-12-01 15:55:05-03:00,0.0
2020-12-01 16:00:05-03:00,0.0
2020-12-01 16:03:35-03:00,1.0
2020-12-01 16:05:05-03:00,1.0
2020-12-01 16:10:06-03:00,1.0
2020-12-01 16:15:06-03:00,1.0
2020-12-01 16:20:06-03:00,1.0
2020-12-01 16:25:07-03:00,1.0
2020-12-01 16:30:07-03:00,1.0
2020-12-01 16:35:07-03:00,1.0
2020-12-01 16:40:07-03:00,1.0
2020-12-01 16:45:08-03:00,1.0
2020-12-01 16:48:37-03:00,0.0
