date,APR El Gredal >> Estanques >> Caudal Entrada Estanque(18246)
2020-11-30 21:03:46-03:00,0.0
2020-11-30 21:08:46-03:00,0.0
2020-11-30 21:13:47-03:00,0.0
2020-11-30 21:18:47-03:00,0.0
2020-11-30 21:23:47-03:00,0.0
2020-11-30 21:28:47-03:00,0.0
2020-11-30 21:33:48-03:00,0.0
2020-11-30 21:38:48-03:00,0.0
2020-11-30 21:43:48-03:00,0.0
2020-11-30 21:48:49-03:00,0.0
2020-11-30 21:53:49-03:00,0.0
2020-11-30 21:58:49-03:00,0.0
2020-11-30 22:03:50-03:00,0.0
2020-11-30 22:04:46-03:00,0.0
2020-11-30 22:08:52-03:00,0.0
2020-11-30 22:13:52-03:00,0.0
2020-11-30 22:18:52-03:00,0.0
2020-11-30 22:23:53-03:00,0.0
2020-11-30 22:28:53-03:00,0.0
2020-11-30 22:33:53-03:00,0.0
2020-11-30 22:38:53-03:00,0.0
2020-11-30 22:43:54-03:00,0.0
2020-11-30 22:48:54-03:00,0.0
2020-11-30 22:53:54-03:00,0.0
2020-11-30 22:58:55-03:00,0.0
2020-11-30 23:03:55-03:00,0.0
2020-11-30 23:08:55-03:00,0.0
2020-11-30 23:13:56-03:00,0.0
2020-11-30 23:18:56-03:00,0.0
2020-11-30 23:23:56-03:00,0.0
2020-11-30 23:28:57-03:00,0.0
2020-11-30 23:33:57-03:00,0.0
2020-11-30 23:38:57-03:00,0.0
2020-11-30 23:43:58-03:00,2.43
2020-11-30 23:48:58-03:00,2.12
2020-11-30 23:53:58-03:00,2.17
2020-11-30 23:58:58-03:00,2.38
2020-12-01 00:03:59-03:00,2.17
2020-12-01 00:09:00-03:00,2.17
2020-12-01 00:14:00-03:00,2.17
2020-12-01 00:19:01-03:00,0.0
2020-12-01 00:24:01-03:00,0.0
2020-12-01 00:29:01-03:00,0.0
2020-12-01 00:34:02-03:00,0.0
2020-12-01 00:39:02-03:00,0.0
2020-12-01 00:44:02-03:00,0.0
2020-12-01 00:49:03-03:00,0.0
2020-12-01 00:54:03-03:00,0.0
2020-12-01 00:59:03-03:00,0.0
2020-12-01 01:04:03-03:00,0.0
2020-12-01 01:09:04-03:00,0.0
2020-12-01 01:14:04-03:00,0.0
2020-12-01 01:19:04-03:00,0.0
2020-12-01 01:24:05-03:00,0.0
2020-12-01 01:29:05-03:00,0.0
2020-12-01 01:34:05-03:00,0.0
2020-12-01 01:39:06-03:00,0.0
2020-12-01 01:44:06-03:00,0.0
2020-12-01 01:49:06-03:00,0.0
2020-12-01 01:54:07-03:00,0.0
2020-12-01 01:59:07-03:00,0.0
2020-12-01 02:04:07-03:00,0.0
2020-12-01 02:09:08-03:00,0.0
2020-12-01 02:14:08-03:00,0.0
2020-12-01 02:19:08-03:00,0.0
2020-12-01 02:24:09-03:00,0.0
2020-12-01 02:29:09-03:00,0.0
2020-12-01 02:34:09-03:00,0.0
2020-12-01 02:39:09-03:00,0.0
2020-12-01 02:44:10-03:00,0.0
2020-12-01 02:49:10-03:00,0.0
2020-12-01 02:54:10-03:00,0.0
2020-12-01 02:59:11-03:00,0.0
2020-12-01 03:04:11-03:00,0.0
2020-12-01 03:09:11-03:00,0.0
2020-12-01 03:14:12-03:00,0.0
2020-12-01 03:19:12-03:00,0.0
2020-12-01 03:24:12-03:00,0.0
2020-12-01 03:29:13-03:00,0.0
2020-12-01 03:34:13-03:00,0.0
