date,APR Las Canteras >> Pozo y Estanque >> Horómetro Pozo 3(20345),APR Las Canteras >> Pozo y Estanque >> Horómetro Pozo 1(4775)
2020-12-23 20:39:18-03:00,2113.0,61268.0
2020-12-23 20:44:19-03:00,2113.0,61268.0
2020-12-23 20:49:19-03:00,2113.0,61268.0
2020-12-23 20:54:19-03:00,2113.0,61268.0
2020-12-23 20:59:19-03:00,2113.0,61268.0
2020-12-23 21:04:20-03:00,2113.0,61268.0
2020-12-23 21:09:20-03:00,2113.0,61268.0
2020-12-23 21:14:20-03:00,2113.0,61268.0
2020-12-23 21:19:21-03:00,2113.0,61268.0
2020-12-23 21:24:21-03:00,2113.0,61268.0
2020-12-23 21:29:21-03:00,2113.0,61268.0
2020-12-23 21:34:22-03:00,2113.0,61268.0
2020-12-23 21:39:22-03:00,2113.0,61268.0
2020-12-23 21:44:22-03:00,2114.0,61268.0
2020-12-23 21:49:23-03:00,2114.0,61268.0
2020-12-23 21:54:23-03:00,2114.0,61268.0
2020-12-23 21:59:23-03:00,2114.0,61268.0
2020-12-23 22:04:24-03:00,2114.0,61268.0
2020-12-23 22:09:24-03:00,2114.0,61268.0
2020-12-23 22:14:24-03:00,2114.0,61268.0
2020-12-23 22:19:24-03:00,2114.0,61268.0
2020-12-23 22:24:25-03:00,2114.0,61268.0
2020-12-23 22:29:25-03:00,2114.0,61268.0
2020-12-23 22:34:25-03:00,2114.0,61268.0
2020-12-23 22:39:26-03:00,2114.0,61268.0
2020-12-23 22:44:26-03:00,2114.0,61268.0
2020-12-23 22:49:26-03:00,2114.0,61268.0
2020-12-23 22:54:27-03:00,2114.0,61268.0
2020-12-23 22:59:27-03:00,2114.0,61268.0
2020-12-23 23:04:27-03:00,2114.0,61268.0
2020-12-23 23:09:28-03:00,2114.0,61268.0
2020-12-23 23:14:28-03:00,2114.0,61268.0
2020-12-23 23:19:28-03:00,2114.0,61268.0
2020-12-23 23:24:28-03:00,2114.0,61268.0
2020-12-23 23:29:29-03:00,2114.0,61268.0
2020-12-23 23:34:29-03:00,2115.0,61268.0
2020-12-23 23:39:30-03:00,2115.0,61268.0
2020-12-23 23:44:30-03:00,2115.0,61268.0
2020-12-23 23:49:30-03:00,2115.0,61268.0
2020-12-23 23:54:31-03:00,2115.0,61268.0
2020-12-23 23:59:31-03:00,2115.0,61268.0
2020-12-24 00:04:31-03:00,2115.0,61268.0
2020-12-24 00:09:31-03:00,2115.0,61268.0
2020-12-24 00:14:32-03:00,2115.0,61268.0
2020-12-24 00:19:32-03:00,2115.0,61268.0
2020-12-24 00:24:32-03:00,2115.0,61268.0
2020-12-24 00:29:33-03:00,2115.0,61268.0
2020-12-24 00:34:33-03:00,2115.0,61268.0
2020-12-24 00:39:33-03:00,2115.0,61268.0
2020-12-24 00:44:34-03:00,2115.0,61268.0
2020-12-24 00:49:34-03:00,2115.0,61268.0
2020-12-24 00:54:34-03:00,2115.0,61268.0
2020-12-24 00:59:35-03:00,2115.0,61268.0
2020-12-24 01:04:35-03:00,2115.0,61268.0
2020-12-24 01:09:35-03:00,2115.0,61268.0
2020-12-24 01:14:36-03:00,2115.0,61268.0
2020-12-24 01:19:36-03:00,2116.0,61268.0
2020-12-24 01:24:36-03:00,2116.0,61268.0
2020-12-24 01:29:36-03:00,2116.0,61268.0
2020-12-24 01:34:37-03:00,2116.0,61268.0
2020-12-24 01:39:37-03:00,2116.0,61268.0
2020-12-24 01:44:37-03:00,2116.0,61268.0
2020-12-24 01:49:38-03:00,2116.0,61268.0
2020-12-24 01:54:38-03:00,2116.0,61268.0
2020-12-24 01:59:38-03:00,2116.0,61268.0
2020-12-24 02:04:39-03:00,2116.0,61268.0
2020-12-24 02:09:39-03:00,2116.0,61268.0
2020-12-24 02:14:39-03:00,2116.0,61268.0
2020-12-24 02:19:40-03:00,2116.0,61268.0
2020-12-24 02:24:40-03:00,2116.0,61268.0
2020-12-24 02:29:40-03:00,2116.0,61268.0
2020-12-24 02:34:41-03:00,2116.0,61268.0
2020-12-24 02:39:41-03:00,2116.0,61268.0
2020-12-24 02:44:41-03:00,2116.0,61268.0
2020-12-24 02:49:42-03:00,2116.0,61268.0
2020-12-24 02:54:42-03:00,2116.0,61268.0
2020-12-24 02:59:42-03:00,2116.0,61268.0
2020-12-24 03:04:42-03:00,2116.0,61268.0
2020-12-24 03:09:43-03:00,2116.0,61268.0
2020-12-24 03:14:43-03:00,2116.0,61268.0
2020-12-24 03:19:43-03:00,2116.0,61268.0
2020-12-24 03:24:44-03:00,2116.0,61268.0
2020-12-24 03:29:44-03:00,2116.0,61268.0
2020-12-24 03:34:44-03:00,2116.0,61268.0
2020-12-24 03:39:45-03:00,2116.0,61268.0
2020-12-24 03:44:45-03:00,2116.0,61268.0
2020-12-24 03:49:45-03:00,2116.0,61268.0
2020-12-24 03:54:46-03:00,2116.0,61268.0
2020-12-24 03:59:46-03:00,2117.0,61268.0
2020-12-24 04:04:46-03:00,2117.0,61268.0
2020-12-24 04:09:47-03:00,2117.0,61268.0
2020-12-24 04:14:47-03:00,2117.0,61268.0
2020-12-24 04:19:47-03:00,2117.0,61268.0
2020-12-24 04:24:48-03:00,2117.0,61268.0
2020-12-24 04:29:48-03:00,2117.0,61268.0
2020-12-24 04:34:48-03:00,2117.0,61268.0
2020-12-24 04:39:49-03:00,2117.0,61268.0
2020-12-24 04:44:49-03:00,2117.0,61268.0
2020-12-24 04:49:49-03:00,2117.0,61268.0
2020-12-24 04:54:49-03:00,2117.0,61268.0
2020-12-24 04:59:50-03:00,2117.0,61268.0
2020-12-24 05:04:50-03:00,2117.0,61268.0
2020-12-24 05:09:50-03:00,2117.0,61268.0
2020-12-24 05:14:51-03:00,2117.0,61268.0
2020-12-24 05:19:51-03:00,2117.0,61268.0
2020-12-24 05:24:51-03:00,2117.0,61268.0
2020-12-24 05:29:52-03:00,2117.0,61268.0
2020-12-24 05:34:53-03:00,2117.0,61268.0
2020-12-24 05:39:53-03:00,2117.0,61268.0
2020-12-24 05:44:53-03:00,2117.0,61268.0
2020-12-24 05:49:54-03:00,2117.0,61268.0
2020-12-24 05:54:54-03:00,2117.0,61268.0
2020-12-24 05:59:54-03:00,2117.0,61268.0
2020-12-24 06:04:55-03:00,2117.0,61268.0
2020-12-24 06:09:55-03:00,2117.0,61268.0
2020-12-24 06:14:55-03:00,2117.0,61268.0
2020-12-24 06:19:56-03:00,2117.0,61268.0
2020-12-24 06:24:56-03:00,2117.0,61268.0
2020-12-24 06:29:56-03:00,2117.0,61268.0
2020-12-24 06:34:57-03:00,2117.0,61268.0
2020-12-24 06:39:57-03:00,2118.0,61268.0
2020-12-24 06:44:57-03:00,2118.0,61268.0
2020-12-24 06:49:57-03:00,2118.0,61268.0
2020-12-24 06:54:58-03:00,2118.0,61268.0
2020-12-24 06:59:58-03:00,2118.0,61268.0
2020-12-24 07:04:58-03:00,2118.0,61268.0
2020-12-24 07:09:59-03:00,2118.0,61268.0
2020-12-24 07:14:59-03:00,2118.0,61268.0
2020-12-24 07:19:59-03:00,2118.0,61268.0
2020-12-24 07:25:00-03:00,2118.0,61268.0
2020-12-24 07:30:00-03:00,2118.0,61268.0
2020-12-24 07:35:01-03:00,2118.0,61268.0
2020-12-24 07:40:01-03:00,2118.0,61268.0
2020-12-24 07:45:01-03:00,2118.0,61268.0
2020-12-24 07:50:01-03:00,2118.0,61268.0
2020-12-24 07:55:02-03:00,2118.0,61268.0
2020-12-24 08:00:02-03:00,2118.0,61268.0
2020-12-24 08:05:02-03:00,2118.0,61268.0
2020-12-24 08:10:03-03:00,2118.0,61268.0
2020-12-24 08:15:03-03:00,2118.0,61268.0
