date,APR Ejemplo Campesino >> Pozo y Estanque >> Volumen Pozo(5123)
2020-12-01 02:15:07-03:00,470635.0
2020-12-01 02:18:29-03:00,470635.0
2020-12-01 02:20:07-03:00,470635.0
2020-12-01 02:23:29-03:00,470636.0
2020-12-01 02:25:08-03:00,470636.0
2020-12-01 02:28:30-03:00,470636.0
2020-12-01 02:30:08-03:00,470637.0
2020-12-01 02:33:30-03:00,470637.0
2020-12-01 02:35:08-03:00,470637.0
2020-12-01 02:38:30-03:00,470637.0
2020-12-01 02:40:09-03:00,470638.0
2020-12-01 02:43:30-03:00,470638.0
2020-12-01 02:45:09-03:00,470638.0
2020-12-01 02:48:31-03:00,470639.0
2020-12-01 02:50:09-03:00,470639.0
2020-12-01 02:53:31-03:00,470639.0
2020-12-01 02:55:10-03:00,470639.0
2020-12-01 02:58:31-03:00,470640.0
2020-12-01 03:00:10-03:00,470640.0
2020-12-01 03:03:32-03:00,470640.0
2020-12-01 03:05:10-03:00,470640.0
2020-12-01 03:08:32-03:00,470641.0
2020-12-01 03:10:11-03:00,470641.0
2020-12-01 03:13:32-03:00,470641.0
2020-12-01 03:15:11-03:00,470642.0
2020-12-01 03:18:33-03:00,470642.0
2020-12-01 03:20:11-03:00,470642.0
2020-12-01 03:23:33-03:00,470642.0
2020-12-01 03:25:11-03:00,470642.0
2020-12-01 03:28:33-03:00,470642.0
2020-12-01 03:30:12-03:00,470642.0
2020-12-01 03:33:33-03:00,470642.0
2020-12-01 03:35:12-03:00,470642.0
2020-12-01 03:38:34-03:00,470642.0
2020-12-01 03:40:12-03:00,470642.0
2020-12-01 03:43:34-03:00,470642.0
2020-12-01 03:45:13-03:00,470642.0
2020-12-01 03:48:34-03:00,470642.0
2020-12-01 03:50:13-03:00,470642.0
2020-12-01 03:53:35-03:00,470642.0
2020-12-01 03:55:13-03:00,470642.0
2020-12-01 03:58:35-03:00,470642.0
2020-12-01 04:00:14-03:00,470642.0
2020-12-01 04:03:35-03:00,470642.0
2020-12-01 04:05:14-03:00,470642.0
