date,APR El Higueral >> Estanque Grande y Captación Superficial >> Caudal Captación Superficial(23187)
2020-11-30 21:04:15-03:00,0.0
2020-11-30 21:09:16-03:00,0.0
2020-11-30 21:14:16-03:00,0.0
2020-11-30 21:19:16-03:00,0.0
2020-11-30 21:24:17-03:00,0.0
2020-11-30 21:29:17-03:00,0.0
2020-11-30 21:34:17-03:00,0.0
2020-11-30 21:39:18-03:00,0.0
2020-11-30 21:44:18-03:00,0.0
2020-11-30 21:49:18-03:00,0.0
2020-11-30 21:54:18-03:00,0.0
2020-11-30 21:59:19-03:00,0.0
2020-11-30 22:04:19-03:00,0.0
2020-11-30 22:09:19-03:00,0.0
2020-11-30 22:14:20-03:00,0.0
2020-11-30 22:19:20-03:00,0.0
2020-11-30 22:24:20-03:00,0.0
2020-11-30 22:29:15-03:00,0.0
2020-11-30 22:34:15-03:00,0.0
2020-11-30 22:39:15-03:00,0.0
2020-11-30 22:44:16-03:00,0.0
2020-11-30 22:49:16-03:00,0.0
2020-11-30 22:54:16-03:00,0.0
2020-11-30 22:59:17-03:00,0.0
2020-11-30 23:04:17-03:00,0.0
2020-11-30 23:09:17-03:00,0.0
2020-11-30 23:14:18-03:00,0.0
2020-11-30 23:19:18-03:00,0.0
2020-11-30 23:24:18-03:00,0.0
2020-11-30 23:29:18-03:00,0.0
2020-11-30 23:34:19-03:00,0.0
2020-11-30 23:39:19-03:00,0.0
2020-11-30 23:44:19-03:00,0.0
2020-11-30 23:49:20-03:00,0.0
2020-11-30 23:54:20-03:00,0.0
2020-11-30 23:59:20-03:00,0.0
2020-12-01 00:04:21-03:00,0.0
2020-12-01 00:09:21-03:00,0.0
2020-12-01 00:14:21-03:00,0.0
2020-12-01 00:19:28-03:00,0.0
2020-12-01 00:24:22-03:00,0.0
2020-12-01 00:29:28-03:00,0.0
2020-12-01 00:34:23-03:00,0.0
2020-12-01 00:39:29-03:00,0.0
2020-12-01 00:44:23-03:00,0.0
2020-12-01 00:49:30-03:00,0.0
2020-12-01 00:54:24-03:00,0.0
2020-12-01 00:59:30-03:00,0.0
2020-12-01 01:04:30-03:00,0.0
2020-12-01 01:09:31-03:00,0.0
2020-12-01 01:14:31-03:00,0.0
2020-12-01 01:19:31-03:00,0.0
2020-12-01 01:24:32-03:00,0.0
2020-12-01 01:29:32-03:00,0.0
